Quarter,State,Male,Female,TotalPopulation,NaturalIncrease,NetOverseasMigration,NetInterstateMigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,Queensland,2412647,2452656,4865303,7657,9353,3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,South Australia,848913,868362,1717275,1370,3418,-1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,Tasmania,257303,262303,519606,242,554,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,Victoria,3067208,3138644,6205852,9347,24517,2432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,Western Australia,1285802,1278690,2564492,4731,3803,-2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,Australian Capital Territory,202502,206376,408878,883,443,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,New South Wales,3865361,3930264,7795625,11344,23770,-4462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,Northern Territory,127526,118539,246065,700,-67,-746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,Queensland,2421215,2461724,4882939,7296,5943,4626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,South Australia,849914,869666,1719580,1283,2264,-2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,Tasmania,258456,263525,521981,214,689,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,Victoria,3082379,3153402,6235781,9564,19105,4893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q4,Western Australia,1288303,1281303,2569606,4953,1442,-3669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,Australian Capital Territory,204507,208510,413017,941,1930,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,New South Wales,3884979,3948484,7833463,12366,33051,-4608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,Northern Territory,127381,118850,246231,687,434,-697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,Queensland,2433121,2473249,4906370,7949,11370,4351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,South Australia,852662,872591,1725253,1726,4219,-1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,Tasmania,259739,264835,524574,279,828,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,Victoria,3104443,3174112,6278555,10692,31795,3945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,Western Australia,1293034,1286242,2579276,5260,5141,-3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,Australian Capital Territory,205448,209598,415046,807,453,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,New South Wales,3896830,3958486,7855316,10695,18555,-4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,Northern Territory,128104,119308,247412,784,918,-272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,Queensland,2443150,2483230,4926380,7705,7409,5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,South Australia,854336,874337,1728673,1304,2274,-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,Tasmania,260800,265962,526762,295,273,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,Victoria,3116504,3186104,6302608,9395,15826,2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,Western Australia,1295903,1289817,2585720,5196,1623,-2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,Australian Capital Territory,206965,210999,417964,804,1629,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,New South Wales,3912293,3972459,7884752,8451,28130,-4092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,Northern Territory,127867,119647,247514,604,100,-340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,Queensland,2451354,2493775,4945129,6696,7040,5369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,South Australia,856604,876451,1733055,922,3571,-1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,Tasmania,262154,267196,529350,-82,987,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,Victoria,3131735,3201779,6333514,8304,24565,1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,Western Australia,1299493,1294645,2594138,4591,3720,-2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,Australian Capital Territory,207866,212360,420226,813,336,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,New South Wales,3921301,3979645,7900946,10889,15192,-6843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,Northern Territory,127285,119577,246862,621,-210,-806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
